timestamp(ms);mag;fx;x_raw;y_raw;z_raw;
"1776620891.765";;"91.49";"375";"1237";"15934";
"1776620891.885";"1145.64";;;;;
"1776620891.886";;"64.05";"0";"0";"0";
"1776620892.022";"801.95";"44.83";"0";"0";"0";
"1776620892.128";"1125.96";"113.66";"2248";"24";"15307";
"1776620892.249";"1459.63";"147.2";"1848";"-142";;
"1776620892.25";;;;;"18254";
"1776620892.37";"1021.74";"103.04";;;;
"1776620892.371";;;"0";"0";"0";
"1776620892.491";"715.22";"72.13";"0";"0";"0";
"1776620892.613";"1065.99";"28.68";"-596";"-156";"15505";
"1776620892.734";"1367.14";"111.06";"2486";"-2566";"16742";
"1776620892.855";"957";"77.74";"0";"0";"0";
"1776620892.976";"1258.59";"42.38";"-329";"-2476";"15960";
"1776620893.097";"1365.89";"119.81";"2463";"1425";;
"1776620893.098";;;;;"13249";
"1776620893.218";"1640.57";;;;;
"1776620893.219";;"113.81";"818";"-4095";"18429";
"1776620893.34";"1148.4";"79.66";"0";"0";"0";
"1776620893.461";"1401.7";"218.01";"4433";"1584";"16048";
"1776620893.582";"1554.98";"204.25";"1411";"-126";;
"1776620893.583";;;;;"15636";
"1776620893.703";"1088.48";"142.98";"0";"0";"0";
"1776620893.824";"761.94";;;;;
"1776620893.825";;"100.08";"0";"0";"0";
"1776620893.946";"1170.84";"42.64";"-749";"-6340";"16838";
"1776620894.067";"1419.52";"32.93";"84";"-1798";"16343";
"1776620894.188";"993.66";;;;;
"1776620894.189";;"23.05";"0";"0";"0";
"1776620894.309";"695.56";"16.13";;;;
"1776620894.31";;;"0";"0";"0";
"1776620894.43";"1104.86";;;;;
"1776620894.431";;"130.1";"3246";"-970";"16693";
"1776620894.552";"1325.21";"92.53";"40";"-947";"15114";
"1776620894.673";"927.65";"64.77";"0";"0";"0";
"1776620894.793";"1267.54";;;;;
"1776620894.794";;"133.33";"2404";"1222";"16808";
"1776620894.915";"1571.48";"229.77";"3728";"-1293";"18341";
"1776620895.036";"1127.1";"247.88";"2378";"-1474";"220";
"1776620895.157";"788.97";;;;;
"1776620895.158";;"173.51";"0";"0";"0";
"1776620895.279";"1173.19";"103.45";;;;
"1776620895.28";;;"-492";"-1655";"17130";
"1776620895.4";"1452.24";"98.51";"713";"-1572";"17165";
"1776620895.521";"1016.57";"68.96";"0";;;
"1776620895.522";;;;"0";"0";
"1776620895.643";"711.6";"48.27";"0";"0";"0";
"1776620895.764";"1077.76";"73.35";"1081";"-2423";"15628";
"1776620895.885";"1329.87";"58.16";"186";"-992";;
"1776620895.886";;;;;"15721";
"1776620896.006";"930.91";"40.71";"0";;;
"1776620896.007";;;;"0";"0";
"1776620896.127";"1188.79";"77.03";"1326";"2058";"14709";
"1776620896.248";"1461.46";"65.78";"324";;;
"1776620896.249";;;;"-2107";"17158";
"1776620896.369";"1667.01";;;;;
"1776620896.37";;"55.63";"262";"1530";"17629";
